age, Job_Category,Level,Nb_Years_School,Ed,marital-status,occupation,sex,gains,losses,hours-per-week,Orig_Country,Output_Class
72, ?, 7th-8th,8,4, Divorced, ?, Female,0,0,6, USA, Low
25, Private, Bachelors,17,13, Never-married, Prof-specialty, Male,0,0,43, Peru, Low
25, Private, Bachelors,17,13, Married-civ-spouse, Prof-specialty, Male,0,0,40, USA, Low
45, Self-emp-not-inc, HS-grad,13,9, Married-civ-spouse, Craft-repair, Male,7298,0,90, USA, High
22, Private, HS-grad,13,9, Never-married, Adm-clerical, Male,0,0,20, USA, Low
23, Private, HS-grad,13,9, Separated, Machine-op-inspct, Male,0,0,54, USA, Low
54, Private, HS-grad,13,9, Married-civ-spouse, Craft-repair, Male,0,0,35, USA, Low
32, Self-emp-not-inc, Few Years College,14,10, Never-married, Prof-specialty, Male,0,0,60, USA, Low
46, State-gov, Few Years College,14,10, Married-civ-spouse, Exec-managerial, Male,7688,0,38, USA, High
56, Self-emp-not-inc, 11th,11,7, Widowed, Other-service, Female,0,0,50, USA, Low
24, Self-emp-not-inc, Bachelors,17,13, Never-married, Sales, Male,0,0,50, USA, Low
23, Local-gov, Few Years College,14,10, Married-civ-spouse, Protective-serv, Male,0,0,40, USA, Low
26, Private, HS-grad,13,9, Divorced, Exec-managerial, Female,0,0,40, USA, Low
65, ?, HS-grad,13,9, Married-civ-spouse, ?, Male,0,0,40, USA, Low
36, Local-gov, Bachelors,17,13, Married-civ-spouse, Prof-specialty, Male,0,0,40, USA, High
22, Private, 5th-6th,7,3, Never-married, Priv-house-serv, Male,0,0,50, Guatemala, Low
17, Private, 10th,10,6, Never-married, Machine-op-inspct, Male,0,0,40, USA, Low
20, Private, HS-grad,13,9, Never-married, Craft-repair, Male,0,0,40, USA, Low
65, Private, Masters,18,14, Married-civ-spouse, Prof-specialty, Male,0,0,50, USA, High
44, Self-emp-inc, Assoc-voc,15,11, Married-civ-spouse, Sales, Male,0,0,45, USA, High
36, Private, HS-grad,13,9, Married-civ-spouse, Farming-fishing, Male,0,0,40, USA, Low
29, Private, 11th,11,7, Married-civ-spouse, Other-service, Male,0,0,40, USA, Low
20, State-gov, Few Years College,14,10, Never-married, Farming-fishing, Male,0,0,32, USA, Low
28, Private, Assoc-voc,15,11, Married-civ-spouse, Prof-specialty, Female,0,0,36, USA, High
39, Private, 7th-8th,8,4, Married-civ-spouse, Craft-repair, Male,0,0,40, Mexico, Low
54, Private, Few Years College,14,10, Married-civ-spouse, Transport-moving, Male,3908,0,50, USA, Low
52, Private, 11th,11,7, Separated, Priv-house-serv, Female,0,0,18, USA, Low
56, Self-emp-inc, HS-grad,13,9, Widowed, Exec-managerial, Female,0,0,50, USA, Low
18, Private, Few Years College,14,10, Never-married, Other-service, Male,0,0,20, USA, Low
39, Private, HS-grad,13,9, Divorced, Handlers-cleaners, Male,0,0,40, USA, Low
21, Private, Few Years College,14,10, Never-married, Other-service, Female,0,1721,24, USA, Low
22, Private, HS-grad,13,9, Never-married, Other-service, Male,14084,0,60, USA, High
38, Private, 9th,9,5, Married-spouse-absent, Exec-managerial, Male,0,0,54, Mexico, Low
21, Private, Few Years College,14,10, Never-married, Adm-clerical, Female,0,0,40, USA, Low
63, Private, HS-grad,13,9, Married-civ-spouse, Craft-repair, Male,0,0,40, USA, Low
34, Local-gov, Bachelors,17,13, Married-civ-spouse, Exec-managerial, Male,3103,0,50, USA, High
42, Self-emp-inc, HS-grad,13,9, Married-civ-spouse, Exec-managerial, Male,5178,0,50, USA, High
33, Private, HS-grad,13,9, Married-civ-spouse, Handlers-cleaners, Male,0,0,40, USA, Low
30, Private, Bachelors,17,13, Never-married, Exec-managerial, Female,0,0,50, USA, Low
39, Private, Few Years College,14,10, Divorced, Sales, Male,0,0,40, USA, Low
26, Private, Masters,18,14, Never-married, Exec-managerial, Female,0,0,40, USA, Low
33, Private, HS-grad,13,9, Never-married, Machine-op-inspct, Female,0,0,40, USA, Low
47, Local-gov, HS-grad,13,9, Divorced, Adm-clerical, Female,0,0,40, USA, Low
41, Private, Bachelors,17,13, Never-married, Other-service, Female,0,0,40, ?, Low
41, Self-emp-inc, Assoc-acdm,16,12, Married-civ-spouse, Craft-repair, Male,15024,0,60, USA, High
19, Private, Few Years College,14,10, Never-married, Other-service, Male,0,0,20, USA, Low
46, Private, HS-grad,13,9, Separated, Transport-moving, Male,0,0,40, USA, Low
43, Private, HS-grad,13,9, Married-civ-spouse, Sales, Male,0,0,48, USA, Low
55, Private, Few Years College,14,10, Married-civ-spouse, Exec-managerial, Male,15024,0,45, USA, High
46, Private, Assoc-voc,15,11, Married-civ-spouse, Tech-support, Male,0,0,40, USA, Low
30, Private, HS-grad,13,9, Married-civ-spouse, Machine-op-inspct, Male,0,0,40, Mexico, Low
21, Private, Few Years College,14,10, Separated, Handlers-cleaners, Female,0,0,40, USA, Low
46, Private, Few Years College,14,10, Married-civ-spouse, Craft-repair, Male,0,0,40, Dominican-Republic, Low
17, ?, 10th,10,6, Never-married, ?, Male,0,0,40, USA, Low
41, Private, HS-grad,13,9, Married-civ-spouse, Machine-op-inspct, Male,0,0,50, USA, Low
69, Self-emp-inc, HS-grad,13,9, Married-civ-spouse, Sales, Male,0,0,30, USA, Low
50, Private, HS-grad,13,9, Married-civ-spouse, Transport-moving, Male,0,0,40, USA, Low
20, Private, Few Years College,14,10, Never-married, Adm-clerical, Female,0,0,40, USA, Low
45, Self-emp-inc, Few Years College,14,10, Married-civ-spouse, Machine-op-inspct, Male,0,0,50, USA, Low
23, Private, Bachelors,17,13, Never-married, Exec-managerial, Male,0,0,40, USA, Low
24, Private, Few Years College,14,10, Separated, Other-service, Male,0,1876,40, USA, Low
44, Self-emp-inc, HS-grad,13,9, Married-civ-spouse, Craft-repair, Male,99999,0,50, ?, High
31, Self-emp-not-inc, Few Years College,14,10, Married-civ-spouse, Craft-repair, Male,0,0,50, USA, Low
43, Private, HS-grad,13,9, Separated, Machine-op-inspct, Female,0,0,44, USA, Low
20, Federal-gov, 11th,11,7, Never-married, Other-service, Female,0,0,10, USA, Low
55, Private, HS-grad,13,9, Married-civ-spouse, Sales, Male,0,0,56, USA, High
24, Federal-gov, Few Years College,14,10, Never-married, Armed-Forces, Male,0,0,40, USA, Low
41, ?, Masters,18,14, Married-civ-spouse, ?, Female,7688,0,10, USA, High
59, Private, Bachelors,17,13, Never-married, Exec-managerial, Female,0,0,25, USA, Low
49, Federal-gov, 7th-8th,8,4, Never-married, Other-service, Male,0,0,20, USA, Low
33, Private, Masters,18,14, Married-civ-spouse, Prof-specialty, Female,5178,0,10, USA, High
59, Federal-gov, Bachelors,17,13, Divorced, Adm-clerical, Male,0,0,40, USA, Low
34, Private, Masters,18,14, Never-married, Other-service, Male,0,0,40, USA, Low
20, Private, HS-grad,13,9, Never-married, Handlers-cleaners, Male,0,0,40, USA, Low
25, Private, Bachelors,17,13, Never-married, Exec-managerial, Female,0,0,40, USA, Low
49, Private, 10th,10,6, Married-civ-spouse, Farming-fishing, Male,0,0,40, USA, Low
59, Private, HS-grad,13,9, Married-civ-spouse, Transport-moving, Male,0,0,40, USA, High
20, Private, HS-grad,13,9, Never-married, Adm-clerical, Female,0,0,40, USA, Low
51, ?, Few Years College,14,10, Married-civ-spouse, ?, Female,0,0,18, USA, Low
33, Private, Few Years College,14,10, Never-married, Adm-clerical, Female,0,0,35, USA, Low
22, Private, Few Years College,14,10, Never-married, Transport-moving, Male,0,0,39, USA, Low
58, Self-emp-not-inc, 9th,9,5, Widowed, Other-service, Female,0,0,40, USA, Low
52, Local-gov, HS-grad,13,9, Widowed, Adm-clerical, Female,0,0,28, USA, Low
36, Private, 10th,10,6, Separated, Machine-op-inspct, Female,0,0,40, USA, Low
41, Local-gov, HS-grad,13,9, Married-civ-spouse, Protective-serv, Male,0,0,40, USA, Low
28, Private, HS-grad,13,9, Never-married, Transport-moving, Male,2597,0,40, USA, Low
19, Private, Few Years College,14,10, Never-married, Handlers-cleaners, Male,0,0,16, USA, Low
18, Private, HS-grad,13,9, Never-married, Other-service, Female,0,0,28, USA, Low
18, Private, HS-grad,13,9, Never-married, Machine-op-inspct, Female,0,0,48, USA, Low
28, Private, Few Years College,14,10, Married-civ-spouse, Craft-repair, Male,0,0,40, USA, Low
29, Private, Assoc-voc,15,11, Married-civ-spouse, Exec-managerial, Male,0,0,40, USA, High
20, ?, HS-grad,13,9, Never-married, ?, Female,0,0,20, USA, Low
40, Private, Few Years College,14,10, Married-civ-spouse, Handlers-cleaners, Male,0,0,40, USA, Low
26, Private, HS-grad,13,9, Never-married, Handlers-cleaners, Male,0,0,40, USA, Low
46, Private, HS-grad,13,9, Married-civ-spouse, Craft-repair, Male,0,0,40, USA, Low
23, Private, 11th,11,7, Never-married, Other-service, Female,0,0,24, USA, Low
44, Private, HS-grad,13,9, Married-spouse-absent, Adm-clerical, Female,0,0,40, USA, Low
43, Private, Bachelors,17,13, Divorced, Sales, Female,0,0,40, USA, High
31, Local-gov, Bachelors,17,13, Divorced, Prof-specialty, Female,0,0,60, USA, Low
18, Private, Few Years College,14,10, Never-married, Sales, Female,0,0,25, USA, Low
19, Private, Few Years College,14,10, Never-married, Protective-serv, Male,0,0,30, USA, Low
41, Private, Few Years College,14,10, Divorced, Tech-support, Female,0,0,40, USA, Low
41, Private, HS-grad,13,9, Divorced, Handlers-cleaners, Female,0,0,40, USA, Low
69, Private, HS-grad,13,9, Divorced, Adm-clerical, Female,0,0,25, USA, Low
48, Federal-gov, Doctorate,20,16, Married-civ-spouse, Prof-specialty, Female,0,0,40, USA, High
28, Private, HS-grad,13,9, Never-married, Prof-specialty, Male,0,0,40, USA, Low
27, Self-emp-not-inc, HS-grad,13,9, Married-civ-spouse, Craft-repair, Male,0,0,60, Ireland, High
41, Private, Masters,18,14, Married-civ-spouse, Prof-specialty, Male,0,2415,50, USA, High
41, Private, Few Years College,14,10, Married-civ-spouse, Adm-clerical, Male,0,0,40, USA, Low
24, Private, HS-grad,13,9, Never-married, Craft-repair, Female,0,0,40, USA, Low
20, ?, HS-grad,13,9, Never-married, ?, Female,0,0,40, USA, Low
42, Self-emp-inc, Doctorate,20,16, Married-civ-spouse, Prof-specialty, Male,0,0,41, USA, High
57, Private, HS-grad,13,9, Married-civ-spouse, Craft-repair, Male,0,0,48, USA, Low
30, Private, Assoc-acdm,16,12, Never-married, Prof-specialty, Female,0,0,40, USA, Low
36, Private, HS-grad,13,9, Married-civ-spouse, Sales, Male,0,0,60, USA, High
49, Private, 7th-8th,8,4, Married-civ-spouse, Machine-op-inspct, Male,0,0,40, USA, Low
33, Private, HS-grad,13,9, Married-civ-spouse, Machine-op-inspct, Female,0,0,35, USA, Low
23, Private, 10th,10,6, Married-civ-spouse, Farming-fishing, Male,0,0,40, USA, Low
46, Private, Masters,18,14, Married-civ-spouse, Prof-specialty, Male,0,0,40, USA, Low
18, Private, Few Years College,14,10, Never-married, Adm-clerical, Female,0,0,22, Germany, Low
40, Private, HS-grad,13,9, Married-civ-spouse, Exec-managerial, Male,7688,0,55, USA, High
43, Self-emp-inc, HS-grad,13,9, Married-civ-spouse, Exec-managerial, Male,0,1887,45, USA, High
34, Private, Masters,18,14, Never-married, Prof-specialty, Female,0,0,30, USA, Low
47, Self-emp-not-inc, HS-grad,13,9, Widowed, Exec-managerial, Female,0,0,30, USA, Low
44, Private, Assoc-voc,15,11, Widowed, Exec-managerial, Female,0,0,30, USA, Low
33, Private, HS-grad,13,9, Married-civ-spouse, Sales, Male,0,0,40, USA, High
55, Private, Bachelors,17,13, Married-civ-spouse, Exec-managerial, Male,15024,0,50, USA, High
19, Private, HS-grad,13,9, Never-married, Sales, Male,2907,0,30, USA, Low
28, Private, Few Years College,14,10, Never-married, Other-service, Male,0,0,14, USA, Low
27, Private, 11th,11,7, Married-civ-spouse, Other-service, Female,0,0,32, USA, Low
50, Private, 7th-8th,8,4, Married-civ-spouse, Machine-op-inspct, Male,0,0,20, USA, Low
22, Private, 11th,11,7, Never-married, Craft-repair, Male,0,0,40, USA, Low
40, State-gov, Bachelors,17,13, Married-civ-spouse, Adm-clerical, Male,0,1887,45, USA, High
25, Private, Few Years College,14,10, Never-married, Adm-clerical, Female,0,0,40, USA, Low
26, Local-gov, HS-grad,13,9, Never-married, Craft-repair, Male,0,0,40, USA, Low
22, Private, Bachelors,17,13, Never-married, Sales, Male,0,0,25, USA, Low
42, Private, Few Years College,14,10, Never-married, Handlers-cleaners, Female,0,625,40, USA, Low
38, Self-emp-inc, Bachelors,17,13, Divorced, Exec-managerial, Male,0,0,40, USA, Low
55, Private, 11th,11,7, Married-civ-spouse, Other-service, Male,0,0,30, USA, Low
32, Private, HS-grad,13,9, Married-civ-spouse, Sales, Male,0,0,40, USA, Low
22, Private, HS-grad,13,9, Married-civ-spouse, Craft-repair, Male,0,0,45, USA, Low
29, Private, Bachelors,17,13, Never-married, Sales, Male,0,0,40, USA, Low
46, State-gov, Masters,18,14, Married-civ-spouse, Exec-managerial, Male,0,0,45, USA, High
31, Private, Few Years College,14,10, Married-civ-spouse, Exec-managerial, Male,0,0,40, USA, High
58, Self-emp-not-inc, Doctorate,20,16, Married-civ-spouse, Prof-specialty, Male,0,0,16, USA, High
42, Private, HS-grad,13,9, Married-civ-spouse, Craft-repair, Male,0,0,45, USA, Low
18, Private, HS-grad,13,9, Never-married, Handlers-cleaners, Male,0,0,25, USA, Low
58, Local-gov, HS-grad,13,9, Divorced, Exec-managerial, Male,0,0,33, USA, Low
54, Private, HS-grad,13,9, Married-civ-spouse, Prof-specialty, Male,0,1887,40, USA, High
34, Private, Masters,18,14, Never-married, Prof-specialty, Male,0,0,40, USA, Low
26, Private, Bachelors,17,13, Never-married, Adm-clerical, Female,0,0,40, USA, Low
61, Private, 12th,12,8, Married-civ-spouse, Exec-managerial, Male,0,0,60, USA, Low
48, Local-gov, Masters,18,14, Separated, Adm-clerical, Female,0,0,40, USA, Low
36, Private, Few Years College,14,10, Married-civ-spouse, Exec-managerial, Male,0,0,45, USA, High
24, Private, Assoc-voc,15,11, Married-civ-spouse, Machine-op-inspct, Male,0,0,45, USA, Low
40, Private, Few Years College,14,10, Married-civ-spouse, Machine-op-inspct, Male,0,0,37, USA, Low
33, Self-emp-inc, HS-grad,13,9, Married-civ-spouse, Sales, Male,0,0,50, USA, High
37, Private, Few Years College,14,10, Married-civ-spouse, Machine-op-inspct, Male,0,1887,40, USA, High
34, Private, Masters,18,14, Never-married, Exec-managerial, Male,4650,0,40, USA, Low
56, Self-emp-inc, Few Years College,14,10, Married-civ-spouse, Exec-managerial, Male,15024,0,40, USA, High
28, ?, HS-grad,13,9, Married-civ-spouse, ?, Female,0,0,38, USA, High
37, Private, Bachelors,17,13, Widowed, Exec-managerial, Female,0,0,55, USA, Low
44, Private, HS-grad,13,9, Divorced, Sales, Female,0,0,40, USA, Low
64, ?, Few Years College,14,10, Married-civ-spouse, ?, Male,0,0,8, USA, Low
54, Private, HS-grad,13,9, Divorced, Handlers-cleaners, Male,0,0,45, USA, Low
23, Private, HS-grad,13,9, Never-married, Machine-op-inspct, Male,0,0,50, USA, Low
34, State-gov, Bachelors,17,13, Married-spouse-absent, Farming-fishing, Male,0,0,40, ?, Low
22, Private, HS-grad,13,9, Never-married, Other-service, Female,0,0,45, USA, Low
33, Private, Bachelors,17,13, Married-civ-spouse, Exec-managerial, Male,0,1977,40, USA, High
39, Private, Bachelors,17,13, Separated, Prof-specialty, Male,0,0,50, USA, High
47, Private, Few Years College,14,10, Divorced, Adm-clerical, Female,0,0,37, USA, Low
79, ?, 7th-8th,8,4, Widowed, ?, Male,0,0,40, USA, Low
26, Private, HS-grad,13,9, Never-married, Prof-specialty, Female,0,0,55, USA, Low
31, Private, Few Years College,14,10, Divorced, Exec-managerial, Female,0,0,40, USA, Low
44, Private, Few Years College,14,10, Never-married, Transport-moving, Male,0,0,45, USA, Low
42, Self-emp-inc, Prof-school,19,15, Married-civ-spouse, Prof-specialty, Female,0,0,50, USA, High
19, Private, HS-grad,13,9, Never-married, Machine-op-inspct, Female,0,0,40, USA, Low
27, Private, HS-grad,13,9, Married-civ-spouse, Handlers-cleaners, Male,0,0,40, USA, High
51, Local-gov, Few Years College,14,10, Married-civ-spouse, Protective-serv, Male,0,0,40, USA, High
28, Self-emp-inc, Bachelors,17,13, Married-civ-spouse, Exec-managerial, Male,0,0,50, USA, Low
57, Private, Bachelors,17,13, Divorced, Craft-repair, Male,0,0,45, USA, Low
45, Local-gov, Bachelors,17,13, Divorced, Prof-specialty, Female,0,0,40, USA, Low
50, Private, Assoc-voc,15,11, Married-civ-spouse, Prof-specialty, Male,0,0,40, USA, High
34, Self-emp-inc, Bachelors,17,13, Married-civ-spouse, Sales, Male,0,0,54, USA, Low
45, Private, 7th-8th,8,4, Married-civ-spouse, Craft-repair, Male,0,0,40, USA, Low
73, Local-gov, HS-grad,13,9, Married-civ-spouse, Exec-managerial, Male,0,0,20, USA, Low
34, Private, Bachelors,17,13, Married-civ-spouse, Prof-specialty, Female,0,0,50, USA, High
31, Private, Few Years College,14,10, Married-civ-spouse, Sales, Male,0,0,55, USA, High
19, Private, 11th,11,7, Never-married, Sales, Male,0,0,12, USA, Low
25, Private, Few Years College,14,10, Never-married, Other-service, Female,0,0,50, USA, Low
38, Federal-gov, Assoc-voc,15,11, Divorced, Craft-repair, Female,6497,0,40, USA, Low
39, Private, Bachelors,17,13, Married-civ-spouse, Transport-moving, Male,0,0,40, USA, Low
23, Private, Bachelors,17,13, Never-married, Tech-support, Female,0,0,32, USA, Low
49, Private, HS-grad,13,9, Married-civ-spouse, Machine-op-inspct, Male,0,0,40, USA, Low
33, Federal-gov, HS-grad,13,9, Never-married, Other-service, Male,0,0,32, USA, Low
21, Private, 5th-6th,7,3, Never-married, Machine-op-inspct, Male,0,0,38, Mexico, Low
31, Private, Assoc-voc,15,11, Separated, Craft-repair, Male,0,0,40, USA, Low
23, Private, Bachelors,17,13, Never-married, Exec-managerial, Female,0,0,45, USA, Low
34, Private, Bachelors,17,13, Married-civ-spouse, Adm-clerical, Male,0,0,40, Philippines, Low
25, Private, HS-grad,13,9, Never-married, Machine-op-inspct, Female,0,0,40, Philippines, Low
39, Private, HS-grad,13,9, Never-married, Craft-repair, Male,0,0,40, USA, Low
52, Self-emp-inc, HS-grad,13,9, Married-civ-spouse, Sales, Male,0,0,40, USA, High
63, Local-gov, 9th,9,5, Married-civ-spouse, Transport-moving, Male,7688,0,40, USA, High
41, Private, Few Years College,14,10, Married-civ-spouse, Craft-repair, Male,0,0,40, USA, Low
46, Private, Bachelors,17,13, Married-civ-spouse, Prof-specialty, Male,15024,0,38, USA, High
53, Local-gov, HS-grad,13,9, Married-civ-spouse, Exec-managerial, Male,0,0,40, USA, Low
25, ?, 9th,9,5, Separated, ?, Female,1055,0,40, USA, Low
77, ?, Few Years College,14,10, Married-civ-spouse, ?, Male,0,0,35, USA, Low
18, Private, 12th,12,8, Never-married, Priv-house-serv, Male,0,0,40, USA, Low
38, Private, Prof-school,19,15, Married-civ-spouse, Prof-specialty, Male,0,0,50, USA, Low
55, Private, Masters,18,14, Never-married, Exec-managerial, Female,0,0,50, Thailand, Low
34, Private, HS-grad,13,9, Married-civ-spouse, Tech-support, Male,0,0,40, USA, High
80, Self-emp-not-inc, HS-grad,13,9, Married-civ-spouse, Other-service, Male,0,0,30, USA, Low
34, Private, Assoc-voc,15,11, Divorced, Tech-support, Female,0,0,60, USA, Low
52, Private, Few Years College,14,10, Married-civ-spouse, Tech-support, Male,5013,0,40, USA, Low
42, Private, HS-grad,13,9, Never-married, Other-service, Female,0,0,28, Haiti, Low
26, Private, Few Years College,14,10, Never-married, Sales, Female,0,0,40, USA, Low
31, Private, HS-grad,13,9, Married-civ-spouse, Transport-moving, Male,0,0,40, USA, Low
25, Local-gov, HS-grad,13,9, Never-married, Other-service, Female,0,0,35, USA, Low
55, Self-emp-not-inc, HS-grad,13,9, Married-civ-spouse, Craft-repair, Male,0,2057,60, USA, Low
19, Private, Few Years College,14,10, Never-married, Other-service, Female,0,0,12, USA, Low
62, Self-emp-not-inc, Few Years College,14,10, Married-civ-spouse, Transport-moving, Male,0,0,32, USA, Low
22, Federal-gov, Few Years College,14,10, Never-married, Adm-clerical, Female,0,0,20, USA, Low
39, ?, HS-grad,13,9, Married-civ-spouse, ?, Female,0,0,50, USA, Low
35, Private, HS-grad,13,9, Married-civ-spouse, Handlers-cleaners, Male,0,0,40, USA, Low
28, Private, HS-grad,13,9, Married-civ-spouse, Sales, Female,0,0,40, USA, Low
47, Private, HS-grad,13,9, Married-civ-spouse, Transport-moving, Male,0,0,70, USA, High
44, State-gov, HS-grad,13,9, Married-civ-spouse, Machine-op-inspct, Male,0,0,40, USA, Low
21, Private, Few Years College,14,10, Never-married, Sales, Male,0,0,15, USA, Low
35, Private, Assoc-voc,15,11, Never-married, Craft-repair, Male,0,0,50, USA, Low
24, Private, Bachelors,17,13, Married-civ-spouse, Prof-specialty, Male,0,0,40, USA, High
42, Federal-gov, Bachelors,17,13, Never-married, Prof-specialty, Male,0,0,40, ?, Low
28, Private, Bachelors,17,13, Never-married, Tech-support, Male,0,0,50, USA, Low
21, Private, Few Years College,14,10, Never-married, Machine-op-inspct, Male,0,0,35, USA, Low
62, Federal-gov, Few Years College,14,10, Divorced, Tech-support, Male,4650,0,40, USA, Low
39, Private, HS-grad,13,9, Never-married, Other-service, Female,0,0,40, USA, Low
30, State-gov, HS-grad,13,9, Never-married, Other-service, Male,0,0,40, USA, Low
72, Self-emp-not-inc, Prof-school,19,15, Never-married, Prof-specialty, Male,0,1429,20, USA, Low
50, Private, Few Years College,14,10, Married-civ-spouse, Exec-managerial, Female,0,0,50, USA, Low
28, Local-gov, Masters,18,14, Never-married, Prof-specialty, Male,0,0,40, USA, Low
29, Private, Few Years College,14,10, Never-married, Prof-specialty, Female,0,0,40, USA, Low
26, Private, Bachelors,17,13, Never-married, Adm-clerical, Female,0,0,40, USA, Low
27, Private, Masters,18,14, Never-married, Exec-managerial, Female,0,0,40, USA, Low
29, Private, Few Years College,14,10, Married-civ-spouse, Handlers-cleaners, Male,3103,0,40, USA, High
61, ?, HS-grad,13,9, Married-civ-spouse, ?, Male,0,0,40, USA, Low
29, Private, 10th,10,6, Married-civ-spouse, Craft-repair, Male,0,0,25, USA, Low
21, ?, Few Years College,14,10, Never-married, ?, Female,0,0,30, USA, Low
31, Private, 11th,11,7, Married-civ-spouse, Sales, Female,0,0,20, USA, Low
25, Private, HS-grad,13,9, Married-civ-spouse, Exec-managerial, Male,0,0,75, USA, Low
58, Private, 10th,10,6, Married-civ-spouse, Transport-moving, Male,0,0,40, USA, High
64, Private, Few Years College,14,10, Married-civ-spouse, Exec-managerial, Female,0,0,40, USA, High
46, State-gov, Masters,18,14, Never-married, Exec-managerial, Male,0,0,38, USA, Low
53, ?, HS-grad,13,9, Married-civ-spouse, ?, Male,0,0,35, USA, High
19, Private, HS-grad,13,9, Never-married, Other-service, Female,0,0,35, USA, Low
42, Private, HS-grad,13,9, Divorced, Other-service, Male,0,0,52, USA, Low
18, Private, 11th,11,7, Never-married, Handlers-cleaners, Male,0,0,24, USA, Low
58, Self-emp-inc, Bachelors,17,13, Married-civ-spouse, Craft-repair, Male,15024,0,50, USA, High
20, Private, Few Years College,14,10, Never-married, Protective-serv, Male,0,0,60, USA, Low
35, Federal-gov, HS-grad,13,9, Married-civ-spouse, Craft-repair, Male,0,0,40, USA, High
32, Private, HS-grad,13,9, Married-civ-spouse, Handlers-cleaners, Male,0,0,38, USA, High
23, Private, HS-grad,13,9, Never-married, Handlers-cleaners, Female,0,0,25, USA, Low
31, Private, Few Years College,14,10, Divorced, Tech-support, Female,0,0,40, USA, Low
33, Private, Bachelors,17,13, Married-civ-spouse, Sales, Male,0,0,55, USA, Low
41, Private, Few Years College,14,10, Never-married, Machine-op-inspct, Female,0,0,48, USA, Low
22, Private, HS-grad,13,9, Never-married, Machine-op-inspct, Male,0,0,40, USA, Low
46, Private, Few Years College,14,10, Married-civ-spouse, Protective-serv, Male,0,0,40, USA, High
61, Federal-gov, Few Years College,14,10, Married-civ-spouse, Transport-moving, Male,0,0,40, USA, Low
30, Private, HS-grad,13,9, Never-married, Exec-managerial, Male,0,0,40, USA, Low
42, Private, HS-grad,13,9, Married-civ-spouse, Exec-managerial, Male,0,0,55, USA, High
63, Private, 10th,10,6, Married-civ-spouse, Handlers-cleaners, Male,0,0,40, USA, Low
26, Private, Few Years College,14,10, Married-civ-spouse, Sales, Male,0,0,40, USA, Low
42, Private, 10th,10,6, Divorced, Adm-clerical, Female,0,0,40, USA, Low
23, Private, Few Years College,14,10, Married-civ-spouse, Other-service, Male,0,0,40, USA, Low
25, Private, HS-grad,13,9, Never-married, Machine-op-inspct, Male,0,1590,40, USA, Low
30, Private, 9th,9,5, Married-civ-spouse, Other-service, Male,0,0,32, El-Salvador, High
23, Private, HS-grad,13,9, Never-married, Sales, Male,0,0,40, USA, Low
34, Self-emp-not-inc, Assoc-voc,15,11, Never-married, Farming-fishing, Male,27828,0,60, USA, High
30, Private, HS-grad,13,9, Married-civ-spouse, Machine-op-inspct, Male,0,2057,48, USA, Low
39, Private, Few Years College,14,10, Married-civ-spouse, Craft-repair, Male,0,0,40, USA, High
30, Private, 11th,11,7, Never-married, Handlers-cleaners, Male,0,1721,38, Puerto-Rico, Low
38, Local-gov, Few Years College,14,10, Divorced, Adm-clerical, Female,0,0,38, USA, Low
26, Private, HS-grad,13,9, Divorced, Exec-managerial, Female,0,0,40, USA, Low
20, Private, Few Years College,14,10, Never-married, Handlers-cleaners, Male,0,0,16, USA, Low
